209	130	1
209	200	0
130	209	0
130	208	0
130	207	1
208	130	1
208	192	0
207	130	0
207	88	1
207	162	1
88	207	0
88	103	1
88	36	0
162	207	0
162	69	0
162	167	1
162	28	0
206	1	1
206	184	0
1	206	0
1	205	1
184	206	1
184	4	0
205	1	0
205	39	1
205	161	1
39	205	0
39	177	0
39	129	1
39	147	1
161	205	0
161	131	0
161	175	1
161	92	0
204	50	1
204	156	0
50	204	0
50	203	1
156	204	1
156	111	0
203	50	0
203	33	1
203	9	1
203	79	1
33	203	0
33	121	1
9	203	0
9	120	0
9	42	1
79	203	0
79	189	0
79	48	1
202	13	1
202	198	0
13	202	0
13	201	0
13	200	1
198	202	1
198	32	0
201	13	1
201	113	0
113	201	1
113	76	0
200	209	1
200	13	0
200	142	1
142	200	0
142	145	0
142	69	1
199	32	1
199	68	0
32	198	1
32	199	0
197	139	1
197	114	0
139	197	0
139	196	0
139	195	1
196	139	1
196	27	0
27	196	1
27	53	0
27	3	0
195	139	0
195	136	1
136	195	0
136	11	1
194	146	1
194	71	0
146	194	0
146	193	0
146	192	1
71	194	1
71	126	0
71	81	0
193	146	1
193	111	0
192	208	1
192	146	0
192	80	1
80	192	0
80	107	1
80	169	0
80	105	1
191	67	1
191	154	0
67	191	0
67	190	0
67	189	1
190	67	1
190	60	0
60	190	1
60	40	0
60	115	0
189	79	1
189	67	0
188	2	1
188	100	0
2	188	0
2	187	1
100	188	1
100	70	0
100	52	0
187	2	0
187	90	1
187	131	1
90	187	0
90	54	1
131	161	1
131	187	0
131	7	1
186	89	1
186	63	0
89	186	0
89	63	1
89	23	0
63	186	1
63	89	0
185	97	1
185	56	0
97	185	0
97	56	1
97	140	0
183	8	1
183	158	0
8	183	0
8	53	1
8	3	0
182	145	1
182	135	0
145	142	1
145	182	0
145	49	0
145	95	1
181	69	1
181	120	0
69	162	1
69	142	0
69	181	0
69	104	1
180	120	1
180	42	0
120	9	1
120	181	1
120	180	0
120	47	1
120	78	0
179	16	1
179	128	0
16	179	0
16	117	1
16	66	0
178	93	1
178	21	0
93	178	0
93	119	0
93	110	1
21	178	1
21	14	0
21	81	0
177	39	1
177	18	0
18	177	1
18	14	0
176	24	1
176	43	0
24	176	0
24	25	0
24	61	1
43	176	1
43	82	0
43	14	0
175	161	0
175	125	1
125	175	0
125	138	1
125	48	0
174	117	1
174	96	0
117	16	0
117	174	0
117	73	1
96	174	1
96	98	0
96	75	0
173	59	1
173	31	0
59	173	0
59	172	1
59	160	1
59	86	0
31	173	1
31	10	0
172	59	0
172	49	1
49	145	1
49	172	0
49	40	1
49	133	0
171	40	1
171	64	0
40	60	1
40	49	0
40	171	0
40	76	1
40	81	1
170	25	1
170	107	0
25	24	1
25	170	0
25	110	0
107	80	0
107	170	1
169	80	1
169	105	0
168	47	1
168	87	0
47	120	0
47	168	0
47	126	1
87	168	1
87	121	0
87	28	0
167	162	0
167	143	1
143	167	0
143	101	1
143	91	0
166	126	1
166	103	0
126	71	1
126	47	0
126	166	0
126	77	1
103	88	0
103	166	1
103	38	0
165	37	1
165	17	0
37	165	0
37	124	1
37	72	0
17	165	1
17	41	0
17	135	0
164	101	1
164	85	0
101	143	0
101	164	0
101	46	1
101	159	1
101	157	1
85	164	1
85	44	0
85	66	0
163	138	1
163	44	0
138	125	0
138	163	0
138	12	1
138	99	1
76	113	1
76	40	0
76	82	1
76	12	0
82	43	1
82	76	0
82	99	0
109	108	1
109	98	0
108	109	0
108	152	0
108	10	1
11	136	0
11	91	1
158	183	1
158	74	1
158	135	0
74	158	0
74	36	0
74	29	1
119	93	1
119	124	0
77	126	0
77	23	0
77	26	1
121	33	0
121	87	1
121	29	0
118	19	1
118	65	0
19	118	0
19	34	0
19	58	1
44	85	1
44	163	1
44	12	0
14	21	1
14	18	1
14	43	1
14	45	0
14	141	0
54	90	0
54	98	1
54	62	0
98	96	1
98	109	1
98	54	0
98	144	0
38	103	1
38	22	0
42	9	0
42	180	1
42	70	1
124	37	0
124	119	1
124	144	1
45	14	1
45	144	0
46	101	0
46	55	1
55	46	0
55	65	1
55	160	1
62	54	1
62	135	0
62	160	0
75	96	1
75	41	0
75	4	0
66	16	1
66	85	1
66	64	0
105	80	0
105	169	1
105	123	1
123	105	0
123	127	1
51	20	1
51	141	0
20	51	0
20	140	1
20	52	1
48	79	0
48	125	1
48	22	0
41	17	1
41	75	1
41	78	1
41	29	0
78	120	1
78	41	0
70	100	1
70	42	0
64	171	1
64	66	1
64	83	0
64	15	0
153	111	1
111	156	1
111	193	1
111	153	0
23	89	1
23	77	1
23	141	0
81	71	1
81	21	1
81	40	0
81	122	1
122	81	0
122	116	1
7	131	0
7	102	1
102	7	0
102	127	0
102	28	1
127	123	0
127	102	1
127	58	0
104	69	0
104	132	1
65	118	1
65	55	0
65	83	1
83	64	1
83	65	0
4	184	1
4	75	1
4	106	0
56	185	1
56	97	0
56	149	1
149	56	0
57	135	1
57	95	0
135	182	1
135	17	1
135	158	1
135	62	1
135	57	0
34	19	1
34	5	0
6	5	1
6	106	0
5	34	1
5	6	0
5	133	1
91	143	1
91	11	0
137	128	1
137	73	0
128	179	1
128	137	0
128	144	1
128	30	1
68	199	1
68	160	1
68	141	1
68	84	0
160	59	0
160	55	0
160	62	1
160	68	0
141	14	1
141	51	1
141	23	1
141	68	0
141	154	0
15	64	1
15	26	0
26	77	0
26	15	1
22	38	1
22	48	1
22	151	0
159	101	0
159	36	1
36	88	1
36	74	1
36	159	0
132	104	0
132	94	1
94	132	0
94	72	1
152	108	1
152	35	1
35	152	0
35	92	0
35	86	1
12	138	0
12	76	1
12	44	1
110	93	0
110	25	1
61	24	0
61	112	0
61	29	1
92	161	1
92	35	1
92	30	0
116	122	0
116	99	1
72	37	1
72	94	0
144	98	1
144	124	0
144	45	1
144	128	0
53	27	1
53	8	0
53	150	1
150	53	0
150	52	0
95	145	0
95	57	1
95	115	1
115	60	1
115	95	0
112	61	1
112	114	0
140	97	1
140	20	0
140	134	1
140	157	0
134	140	0
134	106	1
10	31	1
10	108	0
58	19	0
58	127	1
151	22	1
133	49	1
133	5	0
114	197	1
114	112	1
114	84	0
29	74	0
29	121	1
29	41	1
29	61	0
129	39	0
129	3	1
147	39	0
99	138	0
99	82	1
99	116	0
154	191	1
154	141	1
154	84	1
84	68	1
84	114	1
84	154	0
106	4	1
106	6	1
106	134	0
73	117	0
73	137	1
3	27	1
3	8	1
3	129	0
30	128	0
30	92	1
157	101	0
157	140	1
28	162	1
28	87	1
28	102	0
86	59	1
86	35	0
52	100	1
52	20	0
52	150	1
155	148	1
148	155	0
